id,word_count,unique_word_count,average_word_length,flesch_kincaid_grade
400,179,114,4.5474860335195535,6.1
401,169,127,4.550295857988166,5.2
402,166,128,4.475903614457831,7.9
403,159,110,4.339622641509434,19.2
404,164,118,4.548780487804878,11.4
405,147,51,3.925170068027211,10.0
406,163,115,4.644171779141105,11.5
407,173,110,4.92485549132948,9.4
408,172,110,4.395348837209302,9.3
409,163,125,4.54601226993865,6.5
411,192,130,4.348958333333333,7.9
412,186,116,4.946236559139785,16.6
413,159,111,4.49685534591195,7.8
414,189,132,4.7407407407407405,11.5
415,199,136,4.437185929648241,4.9
418,181,126,4.348066298342541,4.5
420,172,112,4.25,9.8
421,179,123,4.23463687150838,5.6
422,177,109,4.169491525423729,33.1
425,181,119,4.397790055248619,11.5
426,177,123,4.4124293785310735,8.4
428,155,97,4.103225806451613,8.6
429,166,117,4.807228915662651,7.4
431,147,101,4.925170068027211,11.7
432,156,119,4.891025641025641,6.5
433,182,109,4.247252747252747,22.2
434,197,146,4.187817258883249,8.2
435,162,117,4.907407407407407,11.5
436,171,125,4.812865497076023,12.0
437,157,114,4.496815286624204,7.4
438,149,104,4.1879194630872485,9.4
439,141,110,4.843971631205674,8.9
440,173,112,4.294797687861272,9.4
441,188,125,4.446808510638298,8.9
442,175,115,4.36,22.5
443,169,118,4.550295857988166,8.0
444,172,118,4.290697674418604,7.0
445,164,108,4.079268292682927,4.4
446,163,112,4.208588957055214,13.3
447,198,132,4.358585858585859,9.4
448,147,92,4.462585034013605,12.4
449,193,126,4.367875647668394,9.3
450,145,93,4.372413793103449,6.6
451,152,98,4.098684210526316,5.2
452,193,116,4.005181347150259,9.9
453,181,121,4.176795580110498,5.6
454,176,112,4.011363636363637,4.3
455,185,119,4.091891891891892,5.4
456,149,90,4.10738255033557,4.6
457,157,101,4.401273885350318,6.5
458,153,100,4.019607843137255,5.2
460,156,95,4.108974358974359,10.7
461,146,99,3.808219178082192,3.7
463,184,113,4.217391304347826,5.7
464,185,114,4.448648648648649,7.0
465,167,113,4.347305389221557,5.8
466,147,109,4.585034013605442,5.5
467,163,107,4.220858895705521,5.6
469,197,129,4.593908629441624,10.5
470,192,122,4.140625,9.1
471,157,112,4.305732484076433,10.0
472,144,106,4.701388888888889,27.8
473,184,116,3.9510869565217392,10.5
474,147,104,4.36734693877551,10.0
476,174,115,4.505747126436781,8.5
477,162,116,4.6234567901234565,8.8
478,145,112,4.834482758620689,12.2
479,182,127,4.824175824175824,9.8
480,155,109,4.606451612903226,8.4
481,194,145,4.788659793814433,12.3
482,159,119,4.622641509433962,5.4
483,177,108,4.1525423728813555,6.3
484,159,110,4.3584905660377355,8.6
486,158,96,4.0,7.4
487,193,129,4.212435233160622,5.4
488,194,130,4.556701030927835,25.0
489,190,115,3.9210526315789473,10.9
492,159,87,4.276729559748428,19.2
493,189,114,4.015873015873016,17.0
494,192,130,4.171875,6.9
495,197,124,3.9238578680203045,13.9
496,177,121,4.016949152542373,15.8
497,166,100,4.253012048192771,14.8
498,182,133,4.582417582417582,6.8
499,162,112,4.62962962962963,5.5
700,170,121,4.470588235294118,6.4
702,191,126,4.303664921465969,7.9
703,154,115,4.538961038961039,7.2
704,178,130,5.00561797752809,10.8
705,192,128,4.682291666666667,10.4
706,169,116,4.497041420118343,12.9
707,181,121,4.348066298342541,5.0
708,164,112,4.402439024390244,8.9
709,192,137,4.619791666666667,7.9
710,188,136,4.457446808510638,13.2
713,183,134,4.879781420765028,14.0
715,160,119,4.85,10.2
716,195,130,4.4,18.8
719,192,133,4.578125,8.1
720,165,117,4.012121212121212,6.6
723,172,129,4.755813953488372,7.0
724,178,131,4.567415730337078,8.4
725,158,115,4.3354430379746836,6.6
726,173,115,4.635838150289017,12.2
727,162,117,4.62962962962963,11.5
728,174,115,4.137931034482759,11.1
729,178,132,4.179775280898877,8.5
730,170,121,4.905882352941177,8.3
731,175,124,4.4,12.2
732,178,133,4.764044943820225,34.5
733,163,123,4.429447852760736,10.4
734,141,100,4.595744680851064,18.1
735,174,126,4.454022988505747,8.3
736,156,111,4.4423076923076925,11.9
737,184,127,4.521739130434782,10.0
738,156,111,4.435897435897436,13.1
739,173,130,4.601156069364162,16.6
740,163,103,4.2392638036809815,5.3
741,166,115,4.626506024096385,15.9
742,164,109,4.609756097560975,15.7
743,176,118,4.306818181818182,9.5
744,175,129,4.571428571428571,6.0
746,176,108,4.176136363636363,6.2
748,161,101,4.53416149068323,10.2
749,167,111,4.317365269461078,7.9
853,158,97,4.5886075949367084,13.3
856,171,124,4.538011695906433,10.9
857,170,117,4.605882352941176,7.1
858,190,111,4.41578947368421,12.1
860,191,127,4.649214659685864,10.3
862,152,100,4.473684210526316,9.6
863,180,122,4.272222222222222,5.0
864,161,112,4.75776397515528,9.9
865,188,117,4.3563829787234045,7.1
866,148,106,4.331081081081081,9.4
867,152,108,4.315789473684211,7.2
873,185,119,3.9675675675675675,13.0
875,159,104,4.088050314465409,11.0
878,177,128,4.519774011299435,6.3
881,141,90,4.24113475177305,26.1
882,172,119,4.145348837209302,9.3
885,140,103,4.642857142857143,7.6
890,169,107,4.177514792899408,7.1
894,164,109,4.396341463414634,6.8
895,141,101,4.347517730496454,5.4
896,198,127,4.338383838383838,7.2
899,144,100,4.222222222222222,11.0
1100,142,100,4.429577464788732,17.0
1101,176,107,4.2102272727272725,10.0
1102,148,94,4.25,17.8
1103,197,120,4.030456852791878,9.5
1104,166,104,4.162650602409639,9.4
1105,150,90,4.113333333333333,18.1
1106,148,95,4.412162162162162,11.3
1108,151,103,4.125827814569536,7.0
1109,174,112,4.218390804597701,5.9
1110,143,95,4.426573426573427,7.7
1111,186,126,4.091397849462366,6.6
1112,167,109,4.2395209580838324,5.8
1113,149,103,4.651006711409396,4.4
1114,182,117,4.214285714285714,12.8
1117,177,126,4.480225988700565,15.8
1122,177,112,4.564971751412429,13.6
1123,161,106,4.329192546583851,8.7
1124,183,120,4.426229508196721,5.7
1125,153,103,4.555555555555555,11.7
1126,200,135,4.625,8.0
1127,186,128,4.5,7.0
1128,172,122,4.773255813953488,9.3
1129,159,108,4.7421383647798745,13.3
1130,154,109,4.441558441558442,11.8
1131,145,101,5.124137931034483,11.5
1133,171,126,4.538011695906433,16.4
1135,189,121,4.465608465608466,9.0
1136,179,131,4.597765363128492,10.2
1137,173,118,4.485549132947977,12.2
1138,195,128,4.687179487179487,9.4
1139,186,123,4.720430107526882,10.0
1140,159,111,4.59748427672956,7.5
1141,187,128,4.224598930481283,7.0
1142,168,114,4.184523809523809,6.8
1143,164,114,4.390243902439025,7.7
1144,199,121,4.28140703517588,6.8
1145,166,113,4.542168674698795,9.0
1146,187,130,4.481283422459893,7.0
1150,155,113,4.52258064516129,5.8
1152,173,118,4.757225433526012,9.6
1153,166,123,4.879518072289157,5.6
1154,142,104,4.471830985915493,5.3
1156,170,122,4.6647058823529415,7.6
1157,180,124,4.361111111111111,6.8
1159,141,96,3.8439716312056738,7.7
1160,151,98,4.33112582781457,4.5
1164,145,103,4.937931034482759,7.8
1165,195,127,4.2615384615384615,4.4
1166,142,81,4.070422535211268,9.6
1167,180,116,4.288888888888889,12.6
1171,142,103,4.612676056338028,10.8
1173,151,107,4.403973509933775,6.3
1174,164,126,4.670731707317073,6.1
1175,157,127,4.86624203821656,13.2
1176,160,113,4.79375,8.7
1177,151,104,4.629139072847682,9.6
1178,162,109,4.6234567901234565,9.9
1179,189,111,4.1798941798941796,9.1
1180,184,129,4.478260869565218,10.0
1181,153,108,4.549019607843137,7.6
1182,195,145,4.702564102564103,10.6
1183,174,141,4.620689655172414,8.3
1184,198,132,4.46969696969697,13.8
1185,145,99,4.8068965517241375,29.2
1186,182,144,4.527472527472527,11.6
1187,188,136,4.547872340425532,13.1
1190,167,121,4.568862275449102,10.6
1191,169,111,4.544378698224852,10.3
1192,194,136,4.242268041237113,13.7
1193,187,130,4.577540106951871,7.0
1194,173,123,4.583815028901734,33.5
1195,147,98,4.530612244897959,11.2
1196,161,117,4.298136645962733,12.3
1197,188,130,3.978723404255319,4.1
1198,167,124,4.958083832335329,8.6
1199,151,100,4.708609271523179,10.8
1200,198,130,4.237373737373737,10.8
1201,174,119,4.390804597701149,9.5
1202,186,141,4.456989247311828,4.6
1203,172,116,4.354651162790698,6.5
1204,185,118,4.032432432432432,7.6
1205,180,119,4.272222222222222,8.6
1206,182,119,4.373626373626373,13.9
1207,171,108,3.8830409356725144,19.6
1208,144,94,4.451388888888889,10.3
1209,182,123,4.291208791208791,9.9
1210,154,102,4.51948051948052,9.8
1211,189,122,4.190476190476191,6.8
1212,165,114,4.648484848484848,9.0
1215,186,118,4.446236559139785,11.8
1216,173,98,4.323699421965318,5.3
1217,135,96,4.17037037037037,16.1
1218,163,103,4.196319018404908,19.7
1219,174,104,4.109195402298851,9.9
1220,197,135,4.1421319796954315,4.5
1221,143,104,4.573426573426573,10.9
1225,192,121,4.380208333333333,8.1
1228,155,116,5.019354838709678,11.8
1229,148,107,4.513513513513513,13.0
1230,156,93,4.237179487179487,5.3
1231,161,115,4.6521739130434785,11.4
